hours,scores
4.4,20.0
9.6,90.0
7.6,58.0
6.4,31.0
2.4,5.0
2.4,8.0
1.5,10.0
8.8,75.0
6.4,37.0
7.4,52.0
1.2,6.0
9.7,96.0
8.5,69.0
2.9,11.0
2.6,7.0
2.7,12.0
3.7,10.0
5.7,31.0
4.9,22.0
3.6,6.0
6.5,44.0
2.3,6.0
3.6,13.0
4.3,17.0
5.1,19.0
8.1,63.0
2.8,6.0
5.6,28.0
6.3,39.0
1.4,4.0
6.5,51.0
2.5,7.0
1.6,4.0
9.5,91.0
9.7,84.0
8.3,68.0
3.7,14.0
1.9,16.0
7.2,50.0
5.0,26.0
2.1,4.0
5.5,24.0
1.3,7.0
9.2,88.0
3.3,15.0
7.0,44.0
3.8,21.0
5.7,25.0
5.9,38.0
2.7,18.0
9.7,90.0
8.0,61.0
9.5,90.0
9.1,79.0
6.4,33.0
9.3,87.0
1.8,0.0
2.8,10.0
1.4,0.0
3.9,23.0
4.5,16.0
3.4,10.0
8.5,76.0
4.2,12.0
3.5,14.0
5.9,41.0
2.3,0.0
8.2,68.0
1.7,4.0
9.9,100.0
8.0,57.0
2.8,1.0
1.0,4.0
8.3,71.0
7.4,55.0
7.6,59.0
7.9,60.0
1.7,4.0
4.2,19.0
2.0,1.0
8.8,86.0
6.6,46.0
4.0,10.0
1.6,6.0
3.8,10.0
3.9,19.0
7.6,63.0
6.7,41.0
9.0,86.0
5.2,30.0
2.1,8.0
7.4,65.0
7.8,60.0
6.1,33.0
7.9,59.0
5.4,26.0
5.7,32.0
4.8,25.0
1.2,3.0
2.0,8.0
